Site Name,Sample Collection Date,Concentration,7dra_centered
Brightwater,05/23/2024,1407159626,1407161742.4285715
Brightwater,05/24/2024,1412006191,1420345052.0
Brightwater,05/25/2024,1416852757,1441869339.0
Brightwater,05/26/2024,1421699322,1462151340.7142856
Brightwater,05/27/2024,1484917913,1481191057.142857
Brightwater,05/28/2024,1548136504,1498988488.2857144
Brightwater,05/29/2024,1544287072,1515543634.0
Brightwater,05/30/2024,1540437641,1530856494.4285715
Brightwater,05/31/2024,1536588209,1536876623.5714285
Brightwater,06/01/2024,1532738777,1533604021.2857144
Brightwater,06/02/2024,1528889345,1573921313.4285715
Brightwater,06/03/2024,1527058817,1657828499.857143
Brightwater,06/04/2024,1525228288,1785325580.7142856
Brightwater,06/05/2024,1826508117,1956412556.0
Brightwater,06/06/2024,2127787946,2171089425.714286
Brightwater,06/07/2024,2429067775,2380007417.428571
Brightwater,06/08/2024,2730347604,
Brightwater,06/09/2024,3031627433,
Brightwater,06/10/2024,2989484759,
